Title,Artist,Date,Medium,Dimensions,URL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Pst, Ich Denke",Werner Büttner,1989,Mixed media,"11 3/4 x 8 3/8"" (29.8 x 21.3 cm)",,,,,29.8,,,21.3,,
"Untitled, no. 8 of 12, from the series, Spirals",Louise Bourgeois,2005,Woodcut,"sheet: 14 x 16 5/8"" (35.5 x 42.2 cm)",http://www.moma.org/collection/works/106151,,,,35.5,,,42.2,,
"Plate 3 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Louise Bourgeois,1995-2003,Engraving and drypoint over photogravure,"plate: 7 3/16 x 5 13/16"" (18.2 x 14.7 cm); sheet: 11 1/4 x 8 11/16"" (28.5 x 22 cm)",http://www.moma.org/collection/works/119456,,,,18.2,,,14.7,,
OPENERS from the portfolio ETC,Omar Rayo,1967,,"irreg composition  8 3/4 x 3 1/2"" (22.2 x 8.9 cm)",,,,,22.2,,,8.9,,
",Gift of Peter J. Cohen,518.2019,Photograph,Photography,2019-11-12,N,400015,,,,,,6.5,,,9.8,,
La Monnaie,Eugène Atget,229,(French"," 1857–1927)""","Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",Abbott-Levy Collection. Partial gift of Shirley C. Burden,1.1969.3078,,,,,,,,
Costume design for the ballet Le Tricorne,Pablo Picasso,1920,Collotype with pochoir from an illustrated book with thirty-two collotype reproductions (thirty-one with pochoir),"composition (irreg.): 9 3/8 × 5 1/2"" (23.8 × 14 cm); sheet (irreg.): 10 1/8 × 7 5/16"" (25.7 × 18.6 cm)",http://www.moma.org/collection/works/125899,,,,23.8,,,14.0,,
(Figures before a building),Max Weber,1896,"Lithograph, printed in black","Sheet 22 7/8 x 15 7/8"" (58.2 x 40.4 cm) Comp.  16 1/2 x 12 1/8"" (42.1 x 30.8 cm)",,,,,42.1,,,30.8,,
Untitled from On a Clear Day,Agnes Martin,1973,One from a portfolio of 30 screenprints,"composition: 8 1/2 x 8 1/2"" (21.6 x 21.6 cm); sheet: 12 1/8 x 12"" (30.8 x 30.5 cm)",http://www.moma.org/collection/works/63710,,,,21.6,,,21.6,,
Bundle from Lumen Series,Marko Spalatin,1970,One from a portfolio of twenty screenprints,,http://www.moma.org/collection/works/64195,,,,,,,,,
"Dorian Leigh. Schiaparelli Rhinestones. Pré- Catelan, Paris",Richard Avedon,August 1949,"Gelatin silver print, printed 1978","14 3/16 × 17 3/4"" (36.1 × 45.1 cm)",,,,,36.1,,,45.1,,
Cold Key West Winter,Jim Dine,(1981-83),Charcoal and lithographic crayon on colored paper,"22 5/8 x 16 1/4"" (57.5 x 41.7 cm)",http://www.moma.org/collection/works/37731,,,,57.5,,,41.3,,
Ephemera,Christian Marclay,2009,Portfolio of twenty-eight offset lithographs,"sheet (each folded): 15 3/4 x 11 13/16"" (40 x 30 cm); sheet (each unfolded): 15 3/4 x 23 11/16"" (40 x 60.1 cm); slipcase: 16 1/8 x 11 15/16 x 1 1/4"" (41 x 30.3 x 3.2 cm)",http://www.moma.org/collection/works/178475,,,,40.0,,,30.0,,
Untitled photograph from the Apollo 11 mission,NASA,July 1969,Chromogenic color print,"7 1/2 × 7 1/2"" (19.1 × 19.1 cm)",http://www.moma.org/collection/works/201483,,,,19.0500381001,,,19.0500381001,,
Cockatoo AAA Dracula,Billy Al Bengston,1968,Lithograph,"composition (irreg.): 11 3/16 x 10 5/8"" (28.4 x 27cm); sheet (irreg.): 11 3/16 x 10 13/16"" (28.4 x 27.4cm)",http://www.moma.org/collection/works/75166,,,,28.4,,,27.0,,
Moda Polska (Polish Fashion),Roman Cieslewicz,1959,Photolithograph,"27 x 18 1/2"" (68.6 x 47 cm)",http://www.moma.org/collection/works/6300,,,,68.5801371603,,,46.9900939802,,
Untitled from Art Against Immigration Ban Letter Portfolio,Rirkrit Tiravanija,2017,One from a portfolio of nine digital prints,"composition (each): 10 1/4 × 7 13/16"" (26.1 × 19.8 cm); sheet (each): 11 5/8 × 8 1/4"" (29.6 × 20.9 cm)",http://www.moma.org/collection/works/273974,,,,26.1,,,19.8,,
Glue (Wilhold Glu-bird) from Stain,Edward Ruscha,1969,One from a portfolio of seventy-six mixed media stains (including cover),"composition (irreg.): 2 3/8 × 1/8"" (6.1 × 0.3 cm); sheet: 11 7/8 × 10 3/4"" (30.2 × 27.3 cm)",http://www.moma.org/collection/works/62672,,,,6.1,,,0.3,,
"Die Aktion, vol. 3, no. 3",,"January 15, 1913",Periodical,"page (each approx.): 12 1/8 x 9 1/8"" (30.8 x 23.2 cm)",,,,,30.8,,,23.2,,
Please Be Gentle in Fallujah,Aleksandra Mir,2005,Poster,,http://www.moma.org/collection/works/153519,,,,,,,,,
".2 (yellow): 9 1/8 x 3 7/8 x 4 3/8"""" (23.2 x 9.8 x 11.1 cm)""",Given anonymously,http://www.moma.org/collection/works/1151,http://www.moma.org/media/W1siZiIsIjIxMjA3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=34fd28ec9ba3b114,,
"sheet  31 x 22 3/8"""" (78 x 56.9 cm)""",Walter Bareiss Fund,http://www.moma.org/collection/works/68269,http://www.moma.org/media/W1siZiIsIjIyMzM4NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=b8da68fb6570637c,,
"Intra-Venus Face No. 18, February 15, 1992",Hannah Wilke,1992,Watercolor on notebook paper,"12 1/2 x 9 1/2"" (31.8 x 24.1 cm)",http://www.moma.org/collection/works/97770,,,,31.7501,,,24.13,,
Untitled,Doris Ulmann,1929-31,Photogravure,"8 3/8 × 6 5/16"" (21.3 × 16.0 cm)",,,,,21.3,,,16.0,,
"Iberê Camargo Foundation, Porto Alegre, Brazil (Perspective sketch)",Álvaro Siza,1998–2008,Pencil on tracing paper,"11 11/16 x 16 9/16"" (29.7 x 42 cm)",http://www.moma.org/collection/works/161485,,,,29.7,,,42.0,,
The Armstrong-Slater Memorial Trade School,Frances Benjamin Johnston,1899-1900,Platinum print,"7 9/16 × 9 7/16"" (19.2 × 24 cm)",http://www.moma.org/collection/works/57059,,,,19.2,,,24.0,,
Page 41 from Catalogue of Prints,Jean Charlot,1933-1937,,"irreg. composition  6 7/8 x 4 3/4"" (17.4 x 12.1 cm)",,,,,17.4,,,12.1,,
Design for a Luxurious Street Corner,Ger van Elk,1969,"Gelatin silver print and felt-tip-pen and ballpoint pen on paper, mounted on colored paper","16 1/2 × 14 5/8"" (41.9 × 37.1 cm)",http://www.moma.org/collection/works/147107,,0.0,,17.7800355601,,,17.1450342901,,
"ARRIVAL IN NEW YORK (plate, page 33) from APHORISMES ET VARIÉTÉS",Raoul Dufy,(Print executed 1938),,"irreg. composition  7 3/4 x 5 7/8"" (19.7 x 14.9 cm)",,,,,19.7,,,14.9,,
Name card for James Riddle,George Maciunas,c. 1964,Offset card,"sheet: 2 5/8 × 2 9/16"" (6.6 × 6.5 cm)",http://www.moma.org/collection/works/192958,,0.0,,6.6,,,6.5,,
HÔTEL DE BEAUFFREMONT. 87 RUE DE GRENELLE,Eugène Atget,1901,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",,,,,,,,,,
Saint-Cloud,Eugène Atget,1904,Albumen silver print,"Approx. 6 1/2 × 8 1/2"" (16.5 × 21.6 cm)",http://www.moma.org/collection/works/42029,,,,,,,,,
Vase,Paolo Venini,1938,Blown glass,"7 1/8 x 6 3/4"" (18.1 x 17.2 cm)",http://www.moma.org/collection/works/4405,,,17.2,18.0975,,,,,
Untitled,Guillaume Le Roy,(1967),Portfolio of nine woodcuts with introduction and colophon,,http://www.moma.org/collection/works/60347,,,,,,,,,
"Convention Hall Project, Chicago, IL (Interior perspective sketch, structural steel system)",Ludwig Mies van der Rohe,1954,Pencil on paper,"6 x 8 1/2"" (15.2 x 21.6 cm)",(0),2005,One from a series of twelve drypoints,"plate: 6 9/16 x 8 3/16"" (16.7 x 20.8 cm); sheet: 11 3/16 x 13 1/4"" (28.4 x 33.6 cm)",Gift of the artist,421.2010.12,Print,Drawings & Prints,2010-06-09,Y
Handle Me,Takao Sasai,1986,Offset lithograph,"33 x 23 3/4"" (83.8 x 59.3 cm)",http://www.moma.org/collection/works/7279,,,,83.8,,,59.3,,
Beach Drawing,John Wood,1984,Gelatin silver print,"14 15/16 × 19 1/8"" (37.8 × 48.5 cm)",http://www.moma.org/collection/works/51008,,,,37.8,,,48.5,,
THE SHEPHERD'S HOUR (plate facing page 51) from LE PAYSAGISTE AUX CHAMPS,Jean Desbrosses,1866,"Etching, printed in color","plate  4 3/16 x 5 1/2"" (10.6 x 14 cm)",,,,,10.6,,,14.0,,
"Catalytic text: 20 January 2017. First line: “What is represented?” An ad in The Los Angeles Times, 24 October 2018, on page A8; and again on 26 October 2018, on page A10.",Ben Kinmont,2018,Newspaper ad,,,,,,,,,,,
Mare,MARE 139 (Carlos Rodriguez),n.d.,"Pencil, felt-tip pen and spray paint on lined paper","8 × 10"" (20.3 × 25.4 cm)",,,0.0,,20.3200406401,,,25.4000508001,,
"Blacksmith, Lowell, Vermont",Arthur Rothstein,September 1937,Gelatin silver print,"8 × 10"" (20.3 × 25.4 cm)",http://www.moma.org/collection/works/50587,,,,20.3,,,25.4,,
Untitled,Norman Zammitt,(November 1-18) 1967,"Lithograph, printed in color","composition  19 x 29 5/16"" (48.3 x 74.5 cm)
Untitled,Enrique Ramírez,74941,(Chilean","25 days, 4 hours; 330 min.",1227.2018.45,Video,Media and Performance,2018-11-07,N,294488,,,
"THE LIBERATED BLACK MAN (plate, facing page 46) from RÉINCARNATIONS DU PÈRE UBU",Georges Rouault,1916-1932,"Etching, soft ground etching, aquatint, lift ground aquatint, and drypoint with roulette, printed in black","plate  8 7/16 x 11 15/16"" (21.5 x 30.3 cm)",,,,,21.5,,,30.3,,
Tabu,"Jean Crotti, Suzanne Duchamp",1921,Lithograph,"47 1/2 x 31 1/2"" (125.6 x 80 cm)",http://www.moma.org/collection/works/6646,,,,125.6,,,80.0,,
HÔTEL DE CONDÉ. RUE MONSIEUR-LE-PRINCE 4,Eugène Atget,1908,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",,,,,,,,,,
Untitled,Richard Prince,1998,"Ballpoint pen, watercolor, crayon, and felt-tip pen on paper
BEU N° 3 from Alphabet Bété,Frédéric Bruly Bouabré,30876,(Ivorian"," 1923–2014)""",CAAC - The Pigozzi Collection. Gift of Jean Pigozzi,Drawing,Drawings & Prints,2019-04-04,Y,299022,http://www.moma.org/collection/works/299022,,,
Plate (facing page 11) from POÈMES,Maurice Denis,1936-1942,"Lithograph, printed in color","irreg. composition  9 7/8 x 7 1/16"" (25.1 x 17.9 cm)",,,,,25.1,,,17.9,,
Poster of the French National Railroad,Album-miscellaneous,1900-1943,,,,,,,,,,,,
"Social imagistics drawing 1, SV6, folder: ""social imagistics"" ""male/female ex-perimental""",Stan VanDerBeek,1970,black marker (faded) on paper,,,,0.0,,30.4800609601,,,22.2250444501,,
COUPLE (plate 4) from HAP GRIESHABER - WOODCUTS,Helmut A. P. Grieshaber,(Print executed 1963),"Woodcut, printed in black","irreg. composition  12 7/16 x 7"" (31.6 x 17.8 cm)",,,,,31.6,,,17.8,,
Plate (folio 9) from 591,Francis Picabia,1952,Offset lithograph from an illustrated book with five offset lithographs,"composition (irreg.): 8 1/2 × 8 3/16"" (21.6 × 20.8 cm); sheet: 11 1/16 × 8 7/8"" (28.1 × 22.5 cm)",http://www.moma.org/collection/works/294687,,,,21.6,,,20.8,,
David and Goliath,Jean Ipoustéguy,1959,"Bronze, two figures in four parts","David 47 7/8 x 24 1/4 x 25"" (121.4 x 61.4 x 63.3 cm); Goliath 30 3/8 x 53 3/4 x 29 1/2"" (76.9 x 136.5 x 74.8 cm) variable",http://www.moma.org/collection/works/80780,,,,,,,,,
"The Dwelling of Our Time, German Building Exhibition, Berlin, Germany, Ground-floor House (Plan, elevations, and section. Square table, tubular steel legs.)",Lilly Reich,1931,Pencil on tracing paper,"14 1/4 x 20 7/8"" (36.2 x 53 cm)",,,,,36.1950723901,,,53.0226060452,,
",The Family of Man Fund", Carol and David Appel Family Fund,164462,http://www.moma.org/collection/works/164462,http://www.moma.org/media/W1siZiIsIjI1ODY2MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ba17675c177d4a95,
Untitled,Ken Heyman,1962,Gelatin silver print,"16 1/2 × 13 1/2"" (41.9 × 34.3 cm)",http://www.moma.org/collection/works/48913,,,,41.9101,,,34.2901,,
Untitled from Architectonic vs. HR,Santiago Cucullu,2006,"One screenprint and lithograph from a portfolio of twelve screenprint and lithographs and one woodcut on fabric
Siblings (Geschwister) from the portfolio Eleven Woodcuts", 1912-1919 (Elf Holzschnitte,(Male),Woodcut,"composition (irreg.): 16 5/16 x 12 1/16"" (41.5 x 30.7 cm); sheet: 24 3/16 x 18 1/2"" (61.4 x 47 cm)",Gift of Allen Porter,474.1941,Print,Drawings & Prints,1941-06-10,Y,69731
"Furniture Commission for the Carl Wilhelm Crous Apartment, Südende, Berlin (Plan and sections. Bookcase.)",Lilly Reich,1930,Pencil on tracing paper,"21 1/2 x 43"" (54.6 x 109.2 cm)",,,,,54.6101092202,,,109.2202184404,,
Headpiece and pictorial initial J (page 159) from DINGO,Pierre Bonnard,1924,"Etching, printed in black","Headpiece (comp. irreg.):  1 5/16 x 7 1/8""  (3.4 x 18.1 cm)  Initial (comp. irreg.):  1 13/16 x 1 13/16""  (4.6 x 4.6 cm)",,,,,3.4,,,18.1,,
"Lafayette Towers, Detroit, MI",Ludwig Mies van der Rohe,1960,Pencil on acetate,"31 1/2 x 60 1/2"" (80 x 153.7 cm)",http://www.moma.org/collection/works/170272,,,,80.0101600203,,,153.6703073406,,
Intake Facility for an Anonymous Client,Mustafa Faruki,2017,Bound book of collages and drawings,"Page (tbc): 13 × 18 1/8 x 1"" (33 × 46 x 2.5 cm)",,,,,33.0,,,46.0,,
Saturn and Family,Alton Pickens,1953,Aquatint and etching,"Plate 11 3/4 x 23 9/16"" (22.9 x 59.9 cm) Sheet 16 5/16 x 26""",http://www.moma.org/collection/works/69282,,,,22.9,,,59.9,,
I Got Up...,On Kawara,1970,Stamped ink on postcard,"4 x 5 3/4"" (10.2 x 14.6 cm)",http://www.moma.org/collection/works/186415,,,,10.16002032,,,14.6050292101,,
",The Family of Man Fund,442.2004.16,Photograph,Photography,2004-10-13,Y,94665,http://www.moma.org/collection/works/94665,http://www.moma.org/media/W1siZiIsIjIzOTU4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8cc9b39652b70d3c,,,,32.5,,,40.6,,
",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,http://www.moma.org/collection/works/96154,http://www.moma.org/media/W1siZiIsIjEzMDA3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e127f2c4bf6438c9,,
Untitled. (Christmas tree at airport),Garry Winogrand,1954-84,Gelatin silver print,"8 13/16 × 13 1/8"" (22.4 × 33.4 cm)",,,,,22.4,,,33.4,,
"Untitled, plate 10 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Louise Bourgeois,1995,Photogravure and engraving,"plate: 7 3/16 × 5 1/8"" (18.2 × 13 cm); sheet: 11 x 8 9/16"" (28 x 21.7 cm)",,,,,18.2,,,13.0,,
"TALLINN, ESTONIA",George A. Tice,1983,Gelatin silver print,"9 × 13 3/8"" (22.9 × 34 cm)",,,,,22.9,,,34.0,,
Ornamental initial N and ornament (page 13) from POÈSIES ANTILLAISES,Henri Matisse,1946-1972,,"Initial (comp. irreg.):  6 1/8 x 4 1/16""  (15.6 x 10.3 cm) Ornament (comp. irreg.):  2 1/4 x 2 15/16"" (5.7  x 7.4 cm)",,,,,15.6,,,10.3,,
"SAAL S. Victor Social Housing, Porto, Portugal (View of the model)",Álvaro Siza,1974-1977,Pigmented inkjet print,"5 1/8 x 7 1/2"" (13 x 19.1 cm)",http://www.moma.org/collection/works/161460,,,,13.0175260351,,,19.0500381001,,
TEMPLEMORE. (Man and boy),Alfred Capel Cure,11 July 1854,Salted paper print,"5 3/4 × 4 13/16"" (14.7 × 12.3 cm)",,,,,14.7,,,12.3,,
Untitled,Paul (Pavel Mansurov) Mansouroff,(1967),Portfolio of 12 lithographs,,,,,,,,,,,
A Norfolk Boat-Yard,"Peter Henry Emerson, T. F. Goodall",c. 1885,Platinum print,"9 3/16 × 11 7/16"" (23.3 × 29 cm)",,,,,23.3,,,29.0,,
Irregular Forms Blanketed by Pure Form,Gary Kuehn,1967,Graphite and ink on paper,"15 3/4 × 11 3/4"" (40 × 29.8 cm)",,,,,40.0050800102,,,29.8450596901,,
"Prints:  various dimensions.""",Gift of Tetsuo Kojima,,,,
ADM,Roberto Obregón,1978–1990,Acrylic on paper and canvas,"52 1/4 x 37 1/4"" (132.7 x 94.6 cm)",http://www.moma.org/collection/works/222065,,,,,,,,,
Untitled,"Gary Metz, John Moore",1967,Offset lithography,"3 11/16 × 4 11/16"" (9.3 × 11.9 cm)",,,,,35.5600711201,,,27.9400558801,,
"Outside the Fence, Washington, D.C.",Rosalind Fox Solomon,1979,Gelatin silver print,"15 1/2 × 15 1/8"" (38.8 × 38.5 cm)",http://www.moma.org/collection/works/55073,,,,38.8,,,38.5,,
"""Discman"" Portable Compact Disc Player (model D-50)","Sony Corporation, Tokyo",1984,"Plastic, metal, and electronic components",,http://www.moma.org/collection/works/185003,,,,,,,,,
"Space World, Kitakyushu 2003 from Fade to Black",Philippe Parreno,2003,"Screenprint, printed in phosphorescent ink","composition (irreg.): 70 9/16 x 47 1/4"" (179.2 x 120 cm); sheet: 72 13/16 x 47 1/4"" (185 x 120 cm)",http://www.moma.org/collection/works/143823,,,,179.2,,,120.0,,
GGG: Die Hochwertige,Unknown Artist,Unknown,Letterpress,"8 7/8 x 5 11/16"" (22.5 x 14.5 cm)",http://www.moma.org/collection/works/8691,,,,22.5,,,14.5,,
The Children's Game,Alton Pickens,1932,Woodcut,"Sheet 11 7/8 x 15"" (30.2 x 38.2 cm) Comp. 7  1/16 x 10 7/8"" (17.9 x 27.7 cm)",,,,,17.9,,,27.7,,
Ravitas tjeckoslovakisk fabrik för tillverkning av grammofonskivan,Unknown Artist,c. 1930,Letterpress,"4 1/8 x 5 3/4"" (10.5 x 14.6 cm)",http://www.moma.org/collection/works/8571,,,,10.5,,,14.6,,
Gladiators,Philip Guston,1940,Oil and pencil on canvas,"24 1/2 x 28 1/8"" (62.2 x 71.4 cm)",http://www.moma.org/collection/works/100241,,,,62.2301,,,71.4376,,
In-text plate (page 33) from Cirque de l'étoile filante (The Shooting Star Circus),Georges Rouault,1938,Wood engraving from an illustrated book with seventy-four wood engravings and seventeen aquatint and etchings (eleven with drypoint),"composition: 1 9/16 × 7 7/8"" (4 × 20 cm); page (irreg.): 17 5/16 × 13 3/16"" (44 × 33.5 cm)",http://www.moma.org/collection/works/30399,,,,4.0,,,20.0,,
"Aux Vieilles Tapisseries: 44 Sentences de Louise Bourgeois, text 23 of 44",Louise Bourgeois,2005,Letterpress,"sheet: 12 13/16 × 9 5/8"" (32.5 × 24.5 cm)",http://www.moma.org/collection/works/277753,,,,32.5,,,24.5,,
Poster of the French National Railroad,Album-miscellaneous,1900-1943,,,,,,,,,,,,
Rue de l'Abreuvoir,Eugène Atget,March-May 1925,Matte gelatin silver printing-out-paper print,"Approx. 7 × 8 7/8"" (17.8 × 22.5 cm)",http://www.moma.org/collection/works/43644,,,,,,,,,
Untitled,Unknown photographer,c. 1910,Gelatin silver print (postcard),"3 13/16 × 2 13/16"" (9.7 × 7.2 cm)
Untitled from The Nude,Carroll Dunham,1652,(American","composition and sheet: 8 7/8 x 6 15/16"" (22.5 x 17.6 cm)",68.2013.11,Print,Drawings & Prints,2013-02-07,Y,167082,http://www.moma.org/collection/works/167082,http://www.moma.org/media/W1siZiIsIjI2Njc3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=60ef29db1a43b154,
Program Seven,Dennis Oppenheim,1968-1972,"Eight videos (black and white and color, sound and silent)",31:09 min.,http://www.moma.org/collection/works/120496,,,,,,,,,1869.0
Chapter title (folio 10) from 2 POEMAS,Antonio Frasconi,1953,"Woodcut, printed in black","irreg. composition  7 15/16 x 12 5/16"" (20.1 x 31.3 cm)",,,,,20.1,,,31.3,,
Untitled from Twenty-two Constructions from 1967,Fred Sandback,1986,One from a series of twenty-two lithographs,"composition: 3 1/2 x 4"" (8.9 x 10.1 cm); sheet: 8 7/16 x 11"" (21.5 x 27.9 cm)",,,,,8.9,,,10.1,,
Interval,David Hartt,2014,"Two-channel video (color, sound)",15:07 min.,http://www.moma.org/collection/works/200099,,,,,,,,,907.0
Precision Paintings: Nil and Infinity 889 1010 from The Whole Works,Yutaka Matsuzawa,1967,Cut-and-pasted paper and printed paper with stencil copy from a portfolio of 71 prints,"sheet: 3 11/16 x 2 3/16"" (9.3 x 5.5 cm)",http://www.moma.org/collection/works/124551,,,,9.3,,,5.5,,
Untitled from The Group,Ibrahim El-Salahi,2016,One from a portfolio of twelve etchings,"composition: 9 3/4 × 7 13/16"" (24.7 × 19.8 cm); sheet: 13 7/16 × 11 1/8"" (34.2 × 28.2 cm)",http://www.moma.org/collection/works/284490,,,,24.7,,,19.8,,
mono 10+1 Kitchen Tool Set,Peter Raacke,1965,Stainless steel,".1 (skimmer): l. 13 1/2"" (34.3 cm)
",97529,http://www.moma.org/media/W1siZiIsIjExMjgzNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f13bdcbdc9d5722f,,,,26.0351,,,15.24,
"Handbemalung-Selbstbemalung 2, Hand-Painting Self-Painting 2",Günter Brus,1964,"Gelatin silver print, pencil","23 5/8 x 19 11/16"" (60 x 50 cm)",http://www.moma.org/collection/works/160729,,0.0,,60.0,,,50.0,,
STUDY,Robert Cremean,"(March 31-April 1, 1966)","Lithograph, printed in black","irreg composition  19 1/16 x 27 1/8"" (48.4 x 68.9 cm)
Study for Flume of Destiny,Arthur B. Davies,1402,(American","12 5/8 x 10 5/8"" (31.9 x 27 cm)",270.1978,Drawing,Drawings & Prints,1978-04-04,Y,35827,http://www.moma.org/collection/works/35827,,
Monograph (no. 3),Erin Shirreff,2012,Pigmented inkjet print,"34 × 46"" (86.4 × 116.8 cm)",,,0.0,,86.3601727203,,,116.8402336805,,
QUAI DE L'HÔTEL DE VILLE,Eugène Atget,1912,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)",,,,,,,,,,
The Story of my Life and Friends as Told by Snapshots from Fourteen On,Blanche Parker,1916-23,Album page with collaged gelatin silver prints and papers with handwritten captions,"10 × 13"" (25.4 × 33 cm)",http://www.moma.org/collection/works/174357,,,,25.4000508001,,,33.0200660401,,
"Untitled from Algorithms, Apparitions and Translations",Julie Mehretu,2013,"One from a series of five etchings with aquatint, drypoint, and engraving","plate: 22 13/16 x 29 9/16"" (58 x 75.1 cm); sheet: 31 5/16 x 37 5/16"" (79.5 x 94.8 cm)
.2: 4 x 3 1/2"" (10.2 x 8.9 cm)
Untitled (for Parkett no. 60),Diana Thater,8331,(American","Composition (DVD diameter): 4 13/16"" (12.3 cm)
A Pythagorean Notebook,Alfred Jensen,2906,(American",(American),(1903),(1981),(Male),1965,Illustrated book with twenty lithographs,"composition (see child records): dimensions vary; page (each approx.; orientation varies): 22 5/8 x 16 7/16"" (57.5 x 41.8 cm)","Gift of Kleiner, Bell & Co.",1699.1967.1-20
